# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.000000       0.000000    0.000000    0.000000          1         1     9.9825   1.000000   0.000000       1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000       1.000000   0.000000       1.000000  -0.000000       1.000000   0.000000       1.000000   0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000  -0.000000       1.000000  -0.000000
  0.000000       0.000000    0.000000    0.000000          2         1    10.6315   1.000000   0.000000       1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000       1.000000  -0.000000       1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000   0.000000       1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000  -0.000000       1.000000   0.000000
  0.012356       0.000000    0.016667    0.000000          1         1     9.9829   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.998630   0.052336            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.998630  -0.052336            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.012356       0.000000    0.016667    0.000000          2         1    10.6311   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.998630  -0.052336            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.998630   0.052336            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.024713       0.000000    0.033333    0.000000          1         1     9.9858   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.994522   0.104528            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.994522  -0.104528            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.024713       0.000000    0.033333    0.000000          2         1    10.6310   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.994522  -0.104528            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.994522   0.104528            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.037069       0.000000    0.050000    0.000000          1         1     9.9891   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.987688   0.156434            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.987688  -0.156434            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.037069       0.000000    0.050000    0.000000          2         1    10.6304   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.987688  -0.156434            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.987688   0.156434            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.049425       0.000000    0.066667    0.000000          1         1     9.9952   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.978148   0.207912            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.978148  -0.207912            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.049425       0.000000    0.066667    0.000000          2         1    10.6290   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.978148  -0.207912            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.978148   0.207912            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.061782       0.000000    0.083333    0.000000          1         1    10.0019   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.965926   0.258819            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.965926  -0.258819            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
